Image Filename,Coefficients
182.png,[-0.62823652  0.62444415 -0.40610436 -0.05844891]
183.png,[-0.6344657   0.63757272 -0.41386613 -0.05745553]
184.png,[-0.62108017  0.6256614  -0.40763057 -0.05814179]
185.png,[-0.59043808  0.56465706 -0.37280821 -0.06339092]
186.png,[-0.6016259   0.58608649 -0.38472051 -0.06180664]
187.png,[-0.56072989  0.51456966 -0.34748783 -0.06704871]
188.png,[-0.60430325  0.57588533 -0.37808683 -0.06318017]
189.png,[-0.59327586  0.57498767 -0.38039537 -0.06227236]
190.png,[-0.59675917  0.58238531 -0.38616493 -0.06107312]
191.png,[-0.59043808  0.56465706 -0.37280821 -0.06339092]
192.png,[-0.60103996  0.58232128 -0.37983717 -0.06355659]
193.png,[-0.6016259   0.58608649 -0.38472051 -0.06180664]
194.png,[-0.57410072  0.52323354 -0.35083565 -0.0671803 ]
195.png,[-0.58046187  0.54843451 -0.36542816 -0.06455832]
196.png,[-0.61918345  0.61784218 -0.40023325 -0.06065126]
197.png,[-0.59320326  0.57782823 -0.38529477 -0.06103311]
198.png,[-0.59187776  0.56781552 -0.3747813  -0.06331712]
199.png,[-0.60981605  0.60293621 -0.39494795 -0.06044469]
200.png,[-0.57153265  0.53805225 -0.36409827 -0.06418958]
201.png,[-0.56962375  0.52715503 -0.35320665 -0.06651639]
202.png,[-0.61543909  0.61584418 -0.40370791 -0.05892745]
203.png,[-0.58394108  0.56324566 -0.37948367 -0.06165538]
204.png,[-0.56073874  0.51534506 -0.34900456 -0.06747786]
205.png,[-0.58175284  0.55838825 -0.37591242 -0.06227833]
206.png,[-0.58527403  0.55863597 -0.37195628 -0.06349286]
207.png,[-0.59184453  0.57989657 -0.3897657  -0.06027124]
208.png,[-0.55833434  0.52109966 -0.36022415 -0.06403565]
209.png,[-0.56112696  0.51615238 -0.35065134 -0.06732958]
210.png,[-0.57951164  0.55471993 -0.37433686 -0.06281474]
211.png,[-0.59305142  0.57492163 -0.38198218 -0.06214832]
212.png,[-0.56316694  0.52996009 -0.36494387 -0.06338461]
213.png,[-0.54272907  0.48016458 -0.33000259 -0.07027224]
214.png,[-0.5281925   0.45330283 -0.31419924 -0.0728585 ]
215.png,[-0.5541077   0.50256406 -0.34163143 -0.06901184]
216.png,[-0.57712524  0.55632485 -0.37836354 -0.06237893]
217.png,[-0.54781455  0.50020055 -0.3469156  -0.06692934]
218.png,[-0.53780138  0.48256716 -0.33889674 -0.0676885 ]
219.png,[-0.53254279  0.47385305 -0.33411059 -0.06869332]
220.png,[-0.59444405  0.57929066 -0.38587649 -0.06190362]
221.png,[-0.52610803  0.46261723 -0.32919882 -0.0689867 ]
222.png,[-0.58109165  0.55325881 -0.37107307 -0.06388715]
223.png,[-0.56562557  0.52974419 -0.36268416 -0.0642801 ]
224.png,[-0.55114465  0.50458724 -0.34797147 -0.06732876]
225.png,[-0.58398053  0.55941849 -0.37493812 -0.06358867]
226.png,[-0.52567445  0.45915023 -0.32448681 -0.07071157]
227.png,[-0.55345825  0.51017145 -0.35314274 -0.06552163]
228.png,[-0.56405168  0.52689551 -0.36118203 -0.06448805]
229.png,[-0.57669324  0.55284738 -0.37712283 -0.06186517]
230.png,[-0.55838072  0.52119061 -0.36141195 -0.06397271]
231.png,[-0.51470976  0.44886168 -0.32680025 -0.0686395 ]
232.png,[-0.56462852  0.53522597 -0.36980748 -0.06327283]
233.png,[-0.59171511  0.5728799  -0.38111469 -0.06224447]
234.png,[-0.05924843 -0.44102398  0.12280955 -0.13444436]
235.png,[ 0.04920013 -0.62391626  0.21883149 -0.14707418]
236.png,[-0.43888187  0.29322811 -0.22895239 -0.0758412 ]
237.png,[-0.61296349  0.67385824 -0.48209287 -0.0211139 ]
238.png,[-0.57497945  0.58902254 -0.41706943 -0.03325938]
239.png,[-0.5376854   0.5279895  -0.38621533 -0.03244771]
240.png,[-0.58010689  0.58538785 -0.39916994 -0.03247058]
241.png,[ 0.24458885 -0.9225962   0.35213826 -0.13467095]
242.png,[ 0.23010303 -0.92768723  0.38588404 -0.14225821]
243.png,[ 0.15500073 -0.79412586  0.32722881 -0.13464749]
244.png,[ 0.27752621 -1.00955566  0.44956962 -0.15355535]
245.png,[ 0.29885316 -1.06943427  0.50538483 -0.16322598]
246.png,[ 0.41900784 -1.25730549  0.58760121 -0.16676402]
247.png,[ 0.39026824 -1.21034584  0.57747661 -0.16652119]
248.png,[-0.28637153 -0.00188714  0.00210073 -0.08656312]
249.png,[-0.28579327  0.04523465 -0.07062485 -0.0524305 ]
250.png,[-0.23399747  0.00424963 -0.06388893 -0.05014917]
251.png,[ 0.34487058 -1.06532674  0.46469929 -0.12592566]
252.png,[-0.27738221  0.03703586 -0.04746129 -0.0559287 ]
253.png,[-0.26151469  0.02561375 -0.04265425 -0.05658573]
254.png,[-0.28653555  0.0588111  -0.04090954 -0.06120547]
255.png,[-0.27802143  0.06509297 -0.05709413 -0.0557945 ]
256.png,[-0.31080553  0.13593857 -0.09330261 -0.05078354]
257.png,[-0.3777822   0.31978384 -0.24888947 -0.00655823]
258.png,[-0.45177834  0.45496846 -0.31033215 -0.00561352]
259.png,[-0.32727907  0.18585296 -0.11892295 -0.04702212]
260.png,[-0.22168203  0.01303544 -0.04037892 -0.05133516]
261.png,[-0.19364972 -0.02223687 -0.02642205 -0.05241047]
262.png,[-0.34127966  0.22629701 -0.1330941  -0.04721993]
263.png,[-0.23698178  0.06446993 -0.07077683 -0.04613568]
264.png,[-0.13878229 -0.12187203  0.03919316 -0.06282087]
265.png,[-0.0548559  -0.26641151  0.11911792 -0.07603093]
266.png,[-0.10207255 -0.17552271  0.06816337 -0.06733449]
267.png,[-0.10680659 -0.16400316  0.06066794 -0.06637809]
268.png,[-0.12408147 -0.12876918  0.04116469 -0.06344221]
269.png,[-0.12011373 -0.13735463  0.04860249 -0.06580741]
270.png,[-0.0658546  -0.2160447   0.08431287 -0.07032819]
271.png,[-0.10403386 -0.14242843  0.04308706 -0.06334525]
272.png,[-0.03651114 -0.25636268  0.10280081 -0.07284943]
273.png,[-0.05468678 -0.21652449  0.081067   -0.06975108]
274.png,[-0.04977651 -0.2218961   0.08090709 -0.06954782]
275.png,[-0.06239727 -0.19414088  0.06584469 -0.06737937]
276.png,[-0.01439063 -0.28658052  0.11892794 -0.07578731]
277.png,[-0.05002718 -0.21713796  0.08669319 -0.0719559 ]
278.png,[-0.03326556 -0.24508132  0.10108787 -0.07400214]
279.png,[-0.07533387 -0.15933539  0.05673657 -0.06768009]
280.png,[-0.08146598 -0.1484876   0.05229975 -0.06726755]
281.png,[-0.07913766 -0.14228328  0.04232668 -0.06535679]
282.png,[-0.04502881 -0.19846378  0.06962918 -0.06882152]
