Image Filename,Coefficients
314.png,[ 0.24320429 -0.54050678  0.27169776 -0.10299562]
315.png,[ 0.15416128 -0.37695798  0.18751764 -0.09060739]
316.png,[ 0.15417677 -0.35490156  0.16288456 -0.08423157]
317.png,[ 0.18991854 -0.42323813  0.20898729 -0.09416391]
318.png,[ 0.1443899  -0.31489777  0.13893833 -0.08033692]
319.png,[-0.03134729  0.02801997 -0.0737466  -0.034659  ]
320.png,[ 0.15601144 -0.31750934  0.11954511 -0.06172125]
321.png,[ 0.0866055  -0.18828133  0.05419618 -0.05279948]
322.png,[-0.02352657  0.05822678 -0.1234179  -0.00704715]
323.png,[-0.09123936  0.17790103 -0.17837403 -0.00052393]
324.png,[-0.08436423  0.19117    -0.19432821  0.00341495]
325.png,[ 0.22328265 -0.46617223  0.24011871 -0.07548226]
326.png,[ 0.00298578 -0.00451547 -0.0548684  -0.01880641]
327.png,[ 0.06266423 -0.09932551 -0.00837932 -0.02514817]
328.png,[-0.08768817  0.18528323 -0.15855409 -0.00288892]
329.png,[-0.0286261   0.05801001 -0.06818106 -0.01967171]
330.png,[ 0.09848536 -0.17481537  0.04815495 -0.02508139]
331.png,[ 0.13537571 -0.21149189  0.05642521 -0.02507708]
332.png,[ 0.01439139 -0.02374035 -0.01147228 -0.01947776]
333.png,[ 0.05396242 -0.08988661  0.02301668 -0.02468845]
334.png,[-0.0585787   0.12177422 -0.08509429 -0.00930857]
335.png,[ 0.00214671 -0.03951183  0.04387499 -0.03108215]
336.png,[-0.14664865  0.28245737 -0.18101808  0.02777378]
337.png,[-0.0787767   0.14910519 -0.09384717  0.01542514]
338.png,[-6.84750738e-24  1.31477616e-23 -7.74564487e-24  6.12323413e-17]
339.png,[ 0.03356465 -0.02545003  0.00030652  0.00089841]
340.png,[-0.08938652  0.21051373 -0.1229999   0.01834861]
341.png,[ 0.0648173  -0.09316073  0.05276943 -0.00671245]
342.png,[ 0.01077176 -0.0195546   0.0432319  -0.00931045]
343.png,[ 0.01914483 -0.00630801  0.02544574 -0.00553042]
