Image Filename,Coefficients
171.png,[-0.68154334  0.82286561 -0.52035594  0.09499758]
172.png,[-0.63025     0.74083566 -0.48751243  0.09229683]
173.png,[-0.64097163  0.75853393 -0.50281495  0.0951829 ]
174.png,[-0.62754366  0.72806489 -0.491384    0.09397963]
175.png,[-0.77698312  1.03320102 -0.66527357  0.1142678 ]
176.png,[-0.60199193  0.62360082 -0.38609207  0.05551113]
177.png,[-0.60256751  0.63627885 -0.40185176  0.05919644]
178.png,[-0.5862563   0.59507893 -0.37929005  0.05605849]
179.png,[-0.51587644  0.44345973 -0.26163444  0.02102394]
180.png,[-0.61060063  0.67301814 -0.44881422  0.06843969]
181.png,[-0.61053281  0.68958581 -0.46269665  0.07143603]
182.png,[-0.50382416  0.43883075 -0.27129909  0.02428229]
183.png,[-0.4931366   0.41923453 -0.26087123  0.02273345]
184.png,[-0.58976736  0.65134148 -0.4422574   0.06838732]
185.png,[-0.52434549  0.45898161 -0.27965168  0.02514903]
186.png,[-0.51393103  0.43987294 -0.26947581  0.02363648]
187.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
188.png,[-0.51393103  0.43987294 -0.26947581  0.02363648]
189.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
190.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
191.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
192.png,[-0.49993524  0.41272122 -0.2550226   0.02154895]
193.png,[-0.51836546  0.44595348 -0.27267942  0.02409392]
194.png,[-0.55313063  0.50518909 -0.30229382  0.02816132]
195.png,[-0.53298015  0.46671222 -0.28079425  0.02499676]
196.png,[-0.53294304  0.47190841 -0.28584259  0.02583897]
197.png,[-0.64164279  0.72045044 -0.47321703  0.07208743]
198.png,[-0.55313063  0.50518909 -0.30229382  0.02816132]
199.png,[-0.5315281   0.46579161 -0.28134275  0.02523571]
200.png,[-0.53298015  0.46671222 -0.28079425  0.02499676]
201.png,[-0.52178179  0.44774369 -0.27164759  0.02378244]
202.png,[-0.51967974  0.44524924 -0.2710969   0.02381798]
203.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
204.png,[-0.55313063  0.50518909 -0.30229382  0.02816132]
205.png,[-0.4892994   0.39550597 -0.2473532   0.02045322]
206.png,[-0.51580096  0.43952988 -0.26900407  0.02346796]
207.png,[-0.54822423  0.49715823 -0.29876461  0.0278609 ]
208.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
209.png,[-0.56874042  0.52383801 -0.30863716  0.02871446]
210.png,[-0.61417278  0.6730342  -0.44971868  0.06886048]
211.png,[-0.50804275  0.42507261 -0.26103569  0.02242604]
212.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
213.png,[-0.50394877  0.42014575 -0.26029348  0.02252933]
214.png,[-0.51210104  0.4378291  -0.27143075  0.02426137]
215.png,[-0.51580096  0.43952988 -0.26900407  0.02346796]
216.png,[-0.50898697  0.42794258 -0.26338352  0.0227162 ]
217.png,[-0.50885518  0.4281766  -0.26382269  0.02282975]
218.png,[-0.52000381  0.4512778  -0.27796125  0.02513602]
219.png,[-0.49685675  0.40738266 -0.25346012  0.02139718]
220.png,[-0.53768348  0.48057025 -0.29172691  0.02690454]
221.png,[-0.50898697  0.42794258 -0.26338352  0.0227162 ]
222.png,[-0.507796    0.42091026 -0.25507433  0.02021281]
223.png,[-0.49685675  0.40738266 -0.25346012  0.02139718]
224.png,[-0.507796    0.42091026 -0.25507433  0.02021281]
225.png,[-0.52889055  0.45154138 -0.26919689  0.02206034]
226.png,[-0.53768348  0.48057025 -0.29172691  0.02690454]
227.png,[-0.59051958  0.62749949 -0.42251929  0.06379432]
228.png,[-0.53619538  0.4662998  -0.27926532  0.02454132]
229.png,[-0.54338417  0.48714086 -0.29259848  0.02670802]
230.png,[-0.55223792  0.50396392 -0.303525    0.02865948]
231.png,[-0.4910696   0.39284933 -0.24188038  0.01862825]
232.png,[-0.54888185  0.49953878 -0.30087357  0.02811886]
233.png,[-0.52906282  0.46490472 -0.28339368  0.02572606]
234.png,[-0.49137592  0.39291336 -0.24158668  0.01853431]
235.png,[-0.53744086  0.46605592 -0.27752001  0.02422079]
236.png,[-0.50496874  0.42119136 -0.26016825  0.0222961 ]
237.png,[-0.53768348  0.48057025 -0.29172691  0.02690454]
238.png,[-0.51775564  0.44528652 -0.27359887  0.02436912]
239.png,[-0.51853564  0.44927962 -0.27752664  0.02515292]
240.png,[-0.50394877  0.42014575 -0.26029348  0.02252933]
241.png,[-0.52623205  0.46070575 -0.28181193  0.02553142]
242.png,[-0.51057109  0.43376941 -0.26853225  0.0237191 ]
243.png,[-0.52889055  0.45154138 -0.26919689  0.02206034]
244.png,[-0.54193211  0.48622024 -0.29314697  0.02694696]
245.png,[-0.50898697  0.42794258 -0.26338352  0.0227162 ]
246.png,[-0.61932536  0.68766534 -0.46103287  0.0708204 ]
247.png,[-0.61056204  0.66728429 -0.44591332  0.06734967]
248.png,[-0.50660332  0.42543109 -0.26315559  0.0228505 ]
249.png,[-0.5335064   0.46260913 -0.27613614  0.02322564]
250.png,[-0.51057109  0.43376941 -0.26853225  0.0237191 ]
251.png,[-0.56570779  0.51953722 -0.30846062  0.02901629]
252.png,[-0.50885518  0.4281766  -0.26382269  0.02282975]
253.png,[-0.52918207  0.45751168 -0.27731913  0.02459375]
254.png,[-0.53287969  0.46897477 -0.28240235  0.02445016]
255.png,[-0.52409929  0.4586227  -0.28179311  0.0256939 ]
256.png,[-0.52762287  0.45411386 -0.27225576  0.02279458]
257.png,[-0.54176325  0.47881858 -0.28759839  0.0259597 ]
258.png,[-0.54311077  0.47805223 -0.28496489  0.02530368]
259.png,[-0.4945367   0.39767117 -0.24343508  0.018764  ]
260.png,[-0.49685675  0.40738266 -0.25346012  0.02139718]
261.png,[-0.52372524  0.4451823  -0.26907841  0.02318781]
262.png,[-0.53456056  0.47730275 -0.29166883  0.02713692]
263.png,[-0.53768348  0.48057025 -0.29172691  0.02690454]
264.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
265.png,[-0.52918207  0.45751168 -0.27731913  0.02459375]
266.png,[-0.51210104  0.4378291  -0.27143075  0.02426137]
267.png,[-0.5283557   0.46222218 -0.27982387  0.02418251]
268.png,[-0.53083579  0.46961585 -0.28679679  0.02630783]
269.png,[-0.53691501  0.48408125 -0.29654994  0.02804591]
270.png,[-0.57353168  0.53785246 -0.31817274  0.03039077]
271.png,[-0.50898697  0.42794258 -0.26338352  0.0227162 ]
272.png,[-0.54338417  0.48714086 -0.29259848  0.02670802]
273.png,[-0.49923159  0.41651325 -0.26167725  0.02304043]
274.png,[-0.54567324  0.49279824 -0.29811902  0.02793895]
275.png,[-0.51435286  0.44057454 -0.27209779  0.0242406 ]
276.png,[-0.51435286  0.44057454 -0.27209779  0.0242406 ]
277.png,[-0.51053566  0.43066386 -0.26359551  0.02189704]
278.png,[-0.53083579  0.46961585 -0.28679679  0.02630783]
279.png,[-0.50885518  0.4281766  -0.26382269  0.02282975]
280.png,[-0.49993524  0.41272122 -0.2550226   0.02154895]
281.png,[-0.60354262  0.66764576 -0.44314945  0.06756014]
282.png,[-0.5748044   0.55979775 -0.36130373  0.05267573]
283.png,[-0.6221842   0.65042687 -0.40483085  0.05942013]
284.png,[-0.84653411  1.11080508 -0.69656563  0.1177447 ]
285.png,[-0.83256055  1.08515526 -0.67519753  0.11395582]
286.png,[-0.63881166  0.74190593 -0.49513218  0.09519303]
287.png,[-0.70487033  0.84446858 -0.53830073  0.09953947]
288.png,[-0.71711035  0.86217693 -0.53401524  0.09705904]
289.png,[-0.78343908  0.98429881 -0.5923194   0.10440537]
290.png,[-0.63293814  0.69748965 -0.42109453  0.07905577]
291.png,[-0.5567909   0.55676435 -0.34937491  0.07455504]
292.png,[-0.61958222  0.68788791 -0.42076298  0.08600084]
293.png,[-0.49169906  0.42611263 -0.25309906  0.05938036]
294.png,[-0.54547383  0.5336874  -0.30669644  0.0664138 ]
295.png,[-0.69911559  0.86560432 -0.53701374  0.11872568]
296.png,[-0.75541683  0.96184398 -0.57726982  0.12342735]
297.png,[-0.49256768  0.48975581 -0.32966368  0.09507778]
298.png,[-0.56426961  0.62957791 -0.39979211  0.10438829]
299.png,[-0.57747625  0.65912855 -0.41122333  0.10542442]
300.png,[-0.63335032  0.75490806 -0.4556711   0.1108086 ]
301.png,[-0.62288198  0.73821709 -0.44225028  0.1080949 ]
302.png,[-0.68055674  0.84530097 -0.49498989  0.11550401]
303.png,[-0.5214645   0.53059337 -0.31128337  0.08791494]
304.png,[-0.45955353  0.443155   -0.26884838  0.08161697]
305.png,[-0.57944346  0.63690566 -0.35176439  0.09103462]
306.png,[-0.52150607  0.54846803 -0.30904653  0.08522265]
307.png,[-0.45692563  0.45633915 -0.27071268  0.08087865]
308.png,[-0.5851208   0.68263833 -0.38206479  0.09584821]
309.png,[-0.52312263  0.58295889 -0.33511751  0.08932138]
310.png,[-0.56115828  0.62726504 -0.34033701  0.0876145 ]
311.png,[-0.49188359  0.52877527 -0.29834481  0.08250076]
312.png,[-0.53298585  0.60038389 -0.33342569  0.08684069]
313.png,[-0.51670035  0.58334403 -0.32476409  0.08572315]
314.png,[-0.53243076  0.61295918 -0.34247226  0.08837608]
315.png,[-0.48635889  0.55307935 -0.31673005  0.08527614]
316.png,[-0.52096558  0.61654395 -0.35310062  0.09068602]
317.png,[-0.51392655  0.60397284 -0.34438129  0.08913124]
318.png,[-0.50707923  0.59967762 -0.34530357  0.08964081]
319.png,[-0.4938179   0.57624009 -0.33451548  0.08799576]
320.png,[-0.47972749  0.57388579 -0.34146855  0.09004757]
321.png,[-0.48517371  0.58903356 -0.35401078  0.09241737]
322.png,[-0.45832477  0.54028876 -0.32864951  0.08853912]
323.png,[-0.45573357  0.55055669 -0.33800004  0.09007833]
324.png,[-0.30327025  0.22754333 -0.1133647   0.03843323]
325.png,[-0.2860751   0.20128883 -0.10153404  0.03667158]
326.png,[-0.42835121  0.51685759 -0.30721158  0.0698633 ]
327.png,[-0.39200758  0.45428835 -0.27647691  0.06568628]
328.png,[-0.3686486   0.41641771 -0.26077904  0.06379248]
329.png,[-0.35801124  0.3979844  -0.25159665  0.06252368]
330.png,[-0.35046091  0.38928674 -0.24852657  0.06158757]
331.png,[-0.35043099  0.39560896 -0.25708736  0.06404308]
332.png,[-0.40523994  0.48606657 -0.28983083  0.06013619]
333.png,[-0.36564133  0.41844747 -0.25610249  0.05498204]
334.png,[-0.37110002  0.434287   -0.2685246   0.05703606]
335.png,[-0.37171148  0.4373239  -0.27118298  0.05733188]
336.png,[-0.38030351  0.47547837 -0.31128337  0.06570777]
337.png,[-0.16372721  0.04402582 -0.04203616  0.01365783]
338.png,[-0.33447321  0.39489645 -0.2711379   0.06017687]
339.png,[-0.12243571 -0.0332207  -0.00114671  0.00767913]
340.png,[-0.43572475  0.60423544 -0.39954525  0.07903824]
341.png,[-0.19766226  0.12858096 -0.10418511  0.0218682 ]
342.png,[-0.16588818  0.07079363 -0.07348829  0.01756861]
343.png,[-0.14125578  0.04586601 -0.07800814  0.02073524]
344.png,[-0.24756553  0.22493877 -0.15887238  0.02384451]
345.png,[-0.24725006  0.22522046 -0.16035542  0.02407538]
346.png,[-0.23109442  0.19194334 -0.14174864  0.02124141]
347.png,[-0.21409568  0.16414571 -0.12811267  0.0193304 ]
348.png,[-0.20274627  0.15612228 -0.12819049  0.02005156]
349.png,[-0.14909829  0.06595089 -0.0832846   0.01257722]
350.png,[-0.14051623  0.0519556  -0.07692363  0.01179629]
351.png,[-0.12490119  0.00875282 -0.01877159 -0.01504806]
352.png,[-0.27518792  0.3406182  -0.25473826  0.03869878]
353.png,[-0.29123948  0.37338407 -0.27118063  0.04079597]
354.png,[-0.27043204  0.34176902 -0.25362424  0.03735499]
355.png,[-0.12854867  0.04266883 -0.04526716 -0.01058715]
356.png,[-0.10448829  0.0098436  -0.03132833 -0.01233162]
357.png,[-0.23955934  0.32155958 -0.25542469  0.03862254]
358.png,[-0.05681783 -0.04596036 -0.01864491 -0.01326268]
359.png,[ 0.00787216 -0.14839871  0.02602599 -0.01862867]
360.png,[ 0.03915092 -0.19027721  0.04487254 -0.0211336 ]
361.png,[ 0.02453478 -0.15873797  0.02586857 -0.01826359]
362.png,[ 0.05151065 -0.20105313  0.04661395 -0.02117538]
363.png,[ 0.07747247 -0.23764606  0.06175179 -0.02189626]
364.png,[ 0.0650612  -0.20192973  0.04082287 -0.01966635]
365.png,[ 0.08564089 -0.25643035  0.08498095 -0.02839333]
366.png,[ 0.09044866 -0.25464545  0.07693892 -0.02549557]
