Image Filename,Coefficients
370.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
371.png,[-0.26849338  0.7391635  -0.08229957  0.24557349]
372.png,[-0.28163573  0.75933739 -0.0915739   0.24679279]
373.png,[-0.28638428  0.77095303 -0.09985187  0.24828114]
374.png,[-0.09645209  0.34441312  0.21883971  0.16438443]
375.png,[-0.29862176  0.7882047  -0.10207597  0.24552834]
376.png,[-0.25598118  0.70459667 -0.04911869  0.22832442]
377.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
378.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
379.png,[-0.24495461  0.67912335 -0.03522181  0.23419018]
380.png,[-0.13390333  0.40738686  0.19187996  0.16521361]
381.png,[-0.29983016  0.78349811 -0.08793238  0.23156918]
382.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
383.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
384.png,[-0.12525839  0.39029578  0.20154616  0.16369939]
385.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
386.png,[-0.29536659  0.7724627  -0.08001947  0.23014894]
387.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
388.png,[-0.32452575  0.83596931 -0.12868135  0.24963988]
389.png,[-0.29983016  0.78349811 -0.08793238  0.23156918]
390.png,[-0.28749862  0.7567668  -0.07108514  0.22874249]
391.png,[-0.31148813  0.80792354 -0.11111367  0.24670687]
392.png,[-0.32920531  0.84462969 -0.13360914  0.25018721]
393.png,[-0.13921249  0.42002867  0.18306527  0.16676642]
394.png,[-0.26559824  0.71011929 -0.03841875  0.22106038]
395.png,[-0.31237705  0.80790137 -0.10186709  0.23355266]
396.png,[-0.31148813  0.80792354 -0.11111367  0.24670687]
397.png,[-0.13055913  0.40292139  0.19274044  0.16525083]
398.png,[-0.25302358  0.70375622 -0.05224219  0.22924598]
399.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
400.png,[-0.29536659  0.7724627  -0.08001947  0.23014894]
401.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
402.png,[-0.31635847  0.81973252 -0.11946172  0.24819119]
403.png,[-0.29031405  0.76227503 -0.07358873  0.22890752]
404.png,[-0.31145666  0.81591274 -0.1194757   0.24843758]
405.png,[-0.22640314  0.64074277 -0.0057572   0.21904914]
406.png,[-0.28749862  0.7567668  -0.07108514  0.22874249]
407.png,[-0.0950389   0.32268076  0.25115878  0.15201486]
408.png,[-0.26030599  0.71540443 -0.05694057  0.22974492]
409.png,[-0.31148813  0.80792354 -0.11111367  0.24670687]
410.png,[-0.13838314  0.41564297  0.18721337  0.1657027 ]
411.png,[-0.25701246  0.68848695 -0.02090159  0.21688038]
412.png,[-0.32452575  0.83596931 -0.12868135  0.24963988]
413.png,[-0.28244008  0.74656839 -0.06464878  0.22750025]
414.png,[-0.28638428  0.77095303 -0.09985187  0.24828114]
415.png,[-0.31148813  0.80792354 -0.11111367  0.24670687]
416.png,[-0.29983016  0.78349811 -0.08793238  0.23156918]
417.png,[-0.29079561  0.77916735 -0.10459082  0.24882158]
418.png,[-0.26009395  0.71759641 -0.06211915  0.23539999]
419.png,[-0.13054344  0.4312393   0.13441589  0.18654247]
420.png,[-2.19499513e-01  6.22551541e-01 -4.12273581e-04  2.04505245e-01]
421.png,[-0.17634635  0.54796051  0.02265494  0.20158865]
422.png,[-0.2571788   0.6974445  -0.07727693  0.21539777]
423.png,[-0.21233753  0.57634995  0.0178837   0.17735848]
424.png,[-0.24503613  0.67604389 -0.08415568  0.20488687]
425.png,[-0.09698585  0.3330507   0.16579401  0.12022504]
426.png,[-0.02774502  0.1563592   0.29953001  0.08183667]
427.png,[-0.10105643  0.31396598  0.18830854  0.0946704 ]
428.png,[-0.15716903  0.45630008  0.06610298  0.11392318]
429.png,[-0.13659646  0.37158114  0.15290176  0.07978409]
430.png,[-0.13065468  0.37471057  0.13324772  0.08026484]
431.png,[-0.2053589   0.51174016  0.04796022  0.0879763 ]
432.png,[-0.16850411  0.45469215  0.05847269  0.08653   ]
433.png,[-0.11004099  0.34358325  0.10829696  0.08115059]
