Image Filename,Coefficients
133.png,[-0.01576835 -0.41333019 -0.03557846 -0.13955688]
134.png,[-0.0009939  -0.42723144 -0.04247688 -0.13696676]
135.png,[ 0.00068303 -0.44733432 -0.04131553 -0.13683092]
136.png,[-0.08769087 -0.33151971 -0.07085789 -0.14449995]
137.png,[-0.09448615 -0.33961992 -0.07330919 -0.14402185]
138.png,[-0.15399635 -0.2441226  -0.12312981 -0.13727943]
139.png,[-0.10362763 -0.34826317 -0.07083029 -0.14392341]
140.png,[-0.11288371 -0.34369255 -0.07132224 -0.14590626]
141.png,[-0.15147671 -0.31836369 -0.08077383 -0.14495504]
142.png,[-0.16492726 -0.30507573 -0.09037556 -0.14379698]
143.png,[-0.16534371 -0.30117112 -0.11469256 -0.1473582 ]
144.png,[-0.30800737 -0.08309244 -0.21681641 -0.12881663]
145.png,[-0.31258508 -0.06033917 -0.25895681 -0.12171726]
146.png,[-0.38580318  0.00509043 -0.24394857 -0.14682418]
147.png,[-0.26026746 -0.2469529  -0.1078207  -0.17302777]
148.png,[-0.39767014  0.02937787 -0.2888742  -0.14410461]
149.png,[-0.46693796  0.17695943 -0.39750411 -0.12790836]
150.png,[-0.2557606  -0.31366617 -0.05467809 -0.20887079]
151.png,[-0.53347094  0.21820327 -0.38445215 -0.15320205]
152.png,[-0.55744389  0.20870568 -0.35250265 -0.17072599]
153.png,[-0.64357537  0.3592553  -0.44802226 -0.15869579]
154.png,[-0.56456767  0.14352904 -0.29412713 -0.20297892]
155.png,[-0.64327719  0.26788923 -0.36097931 -0.19770211]
156.png,[-0.74296945  0.42499104 -0.44310791 -0.18837697]
157.png,[-0.84439172  0.65036738 -0.5992556  -0.16405027]
158.png,[-0.8594848   0.64688443 -0.59304905 -0.16509897]
159.png,[-0.75781347  0.45958944 -0.48158734 -0.18299446]
160.png,[-0.75216792  0.44722633 -0.48037719 -0.18347786]
161.png,[-0.98427941  0.86150724 -0.70412798 -0.15306339]
162.png,[-0.97324329  0.82669051 -0.68383997 -0.15773878]
163.png,[-1.02087311  0.94355816 -0.75583307 -0.14557036]
164.png,[-1.12541046  1.07953137 -0.79659795 -0.14881996]
165.png,[-1.01433409  0.81942975 -0.64765431 -0.17518636]
166.png,[-0.94085141  0.71155689 -0.59419874 -0.18189738]
167.png,[-0.9641525   0.73883055 -0.60246374 -0.18349733]
168.png,[-1.12673958  0.99019454 -0.72836181 -0.16488422]
169.png,[-1.19723256  1.02591415 -0.74473273 -0.16445293]
170.png,[-1.26079428  1.16926778 -0.82398222 -0.15313811]
171.png,[-1.29352691  1.20965579 -0.84234499 -0.15071159]
172.png,[-1.34933252  1.30656045 -0.89923278 -0.14456816]
173.png,[-1.44014454  1.39926847 -0.93917767 -0.13940119]
174.png,[-1.59679028  1.63615713 -1.04527481 -0.12680552]
175.png,[-1.63405513  1.64529737 -1.043049   -0.12857793]
176.png,[-1.58570887  1.56375287 -1.00477802 -0.13349105]
177.png,[-1.54589495  1.50352901 -0.97888718 -0.13732184]
178.png,[-1.54714824  1.50312613 -0.97791381 -0.13670626]
179.png,[-1.57561125  1.54349075 -0.99547233 -0.13423449]
180.png,[-1.42054822  1.30083202 -0.88679667 -0.14790521]
181.png,[-1.51485252  1.44596576 -0.94823295 -0.14103566]
182.png,[-1.52869174  1.47727442 -0.97105377 -0.13722426]
183.png,[-1.55322652  1.50679899 -0.97961889 -0.1362251 ]
184.png,[-1.57423448  1.53744545 -0.99084705 -0.13532169]
185.png,[-1.53706098  1.47486457 -0.96147998 -0.13908344]
186.png,[-1.57838402  1.55280875 -1.00350161 -0.13361805]
187.png,[-1.55166069  1.50932322 -0.98321462 -0.13540912]
188.png,[-1.53706098  1.47486457 -0.96147998 -0.13908344]
189.png,[-1.48067766  1.3884718  -0.92516727 -0.14310006]
190.png,[-1.48137671  1.39712607 -0.93467473 -0.14103356]
191.png,[-1.53706098  1.47486457 -0.96147998 -0.13908344]
192.png,[-1.53706098  1.47486457 -0.96147998 -0.13908344]
193.png,[-1.53957276  1.48264777 -0.96913989 -0.1376731 ]
194.png,[-1.49571694  1.42603816 -0.9520801  -0.13830347]
195.png,[-1.53885459  1.50165814 -0.99142765 -0.13347733]
196.png,[-1.47389271  1.3879457  -0.93142454 -0.14215547]
197.png,[-1.48782332  1.41142527 -0.9440441  -0.13954435]
198.png,[-1.47319192  1.37909562 -0.92168484 -0.14427365]
199.png,[-1.50655024  1.44323167 -0.95865279 -0.13840651]
200.png,[-1.48416955  1.39555261 -0.93248549 -0.14158668]
201.png,[-1.56097174  1.51834431 -0.98902268 -0.13425561]
202.png,[-1.53291123  1.48856958 -0.98517923 -0.13336236]
203.png,[-1.51217362  1.4567462  -0.96957768 -0.13643308]
204.png,[-1.53371713  1.47237537 -0.96657774 -0.13730517]
205.png,[-1.57985429  1.56055256 -1.01742853 -0.13012145]
206.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
207.png,[-1.53900231  1.48242419 -0.97390504 -0.13586181]
208.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
209.png,[-1.47933353  1.38654135 -0.92751846 -0.14229096]
210.png,[-1.54379416  1.4913356  -0.97880655 -0.13516831]
211.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
212.png,[-1.54379416  1.4913356  -0.97880655 -0.13516831]
213.png,[-1.54379416  1.4913356  -0.97880655 -0.13516831]
214.png,[-1.55697547  1.51831158 -0.99529679 -0.1325396 ]
215.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
216.png,[-1.50639107  1.42165803 -0.93905177 -0.14204464]
217.png,[-1.50979268  1.43320058 -0.9497943  -0.13922484]
218.png,[-1.57985429  1.56055256 -1.01742853 -0.13012145]
219.png,[-1.57985429  1.56055256 -1.01742853 -0.13012145]
220.png,[-1.52851585  1.46719538 -0.96931404 -0.13634138]
221.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
222.png,[-1.5360616   1.47330686 -0.96750493 -0.13707198]
223.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
224.png,[-1.5688878   1.54314229 -1.01074932 -0.13003343]
225.png,[-1.51316079  1.44439901 -0.9582238  -0.13859202]
226.png,[-1.505517    1.42623204 -0.94810686 -0.13941316]
227.png,[-1.52738145  1.45917361 -0.96149717 -0.13788477]
228.png,[-1.51524269  1.53067061 -1.00615129 -0.12874167]
229.png,[-1.50566722  1.42675901 -0.94710787 -0.14047077]
230.png,[-1.51420518  1.43220439 -0.94500949 -0.14051322]
231.png,[-1.66333013  1.68370131 -1.05537221 -0.12765094]
232.png,[-1.19494679  1.00311958 -0.71750464 -0.16836264]
233.png,[-1.07432032  0.89121854 -0.66924127 -0.17113837]
234.png,[-1.06561211  0.90411918 -0.69941249 -0.15109094]
235.png,[-0.98563251  0.82260782 -0.66046545 -0.15460166]
236.png,[-0.85209421  0.54644709 -0.47804547 -0.18492536]
237.png,[-0.83540743  0.54829477 -0.49644733 -0.17256064]
238.png,[-0.78429491  0.51351215 -0.48190476 -0.16955219]
239.png,[-0.78836131  0.54882556 -0.50583053 -0.16256414]
240.png,[-0.60932588  0.21461271 -0.32664674 -0.17756435]
241.png,[-0.37498962 -0.22920007 -0.05576472 -0.22064889]
242.png,[-0.4326373  -0.08235245 -0.15170621 -0.19795513]
243.png,[-0.37562747 -0.21022561 -0.05184585 -0.21474644]
244.png,[-0.35287052 -0.1819184  -0.11215306 -0.18619378]
245.png,[-0.21449677 -0.41011899  0.02651783 -0.20624792]
246.png,[-0.43771646  0.04973207 -0.25555619 -0.1505523 ]
247.png,[-0.38650399 -0.05471113 -0.18603792 -0.1583219 ]
248.png,[-0.39512853 -0.02015746 -0.20247095 -0.15514349]
249.png,[-0.2822074  -0.18430226 -0.11895358 -0.16479688]
250.png,[-0.2848521  -0.08077798 -0.24354923 -0.12635847]
251.png,[-0.32827651 -0.03457562 -0.23608613 -0.13168118]
252.png,[-0.376556    0.08378454 -0.30869156 -0.11964816]
253.png,[-0.30483554 -0.0097529  -0.25331389 -0.1303301 ]
254.png,[-0.3577123   0.08911804 -0.29741918 -0.123688  ]
