Image Filename,Coefficients
177.png,[ 1.16403679 -2.79885989  1.84983401 -0.68355663]
178.png,[-0.01367745 -0.15360599 -0.13376899 -0.15850892]
179.png,[ 0.10176831 -0.36943247 -0.02447835 -0.16269805]
180.png,[ 0.18470021 -0.52380901  0.07340024 -0.18521581]
181.png,[ 0.29166994 -0.79132163  0.29717527 -0.23832781]
182.png,[-0.02696095 -0.08954941 -0.19450621 -0.11347858]
183.png,[ 0.13316451 -0.47298175  0.12557585 -0.19717229]
184.png,[ 0.18044097 -0.56116746  0.17661241 -0.2002974 ]
185.png,[ 0.16624453 -0.5462087   0.19227205 -0.20207318]
186.png,[ 0.23210936 -0.67256244  0.2673371  -0.20661631]
187.png,[ 0.19750088 -0.58348968  0.20487361 -0.18487883]
188.png,[ 0.2859766  -0.75685972  0.31828065 -0.20158184]
189.png,[ 0.02154868 -0.23606447  0.00879314 -0.14336192]
190.png,[ 0.17573207 -0.56054648  0.23457565 -0.1904375 ]
191.png,[ 0.0668412  -0.30192472  0.04843089 -0.14503526]
192.png,[-0.00506162 -0.17069096 -0.01157824 -0.13789219]
193.png,[ 0.04818575 -0.2625703   0.04393926 -0.1464591 ]
194.png,[ 0.00183187 -0.17291978  0.00470539 -0.14187378]
195.png,[-0.02168204 -0.12975173 -0.01478377 -0.13927972]
196.png,[-0.03985511 -0.08233802 -0.03530402 -0.13653852]
197.png,[-0.02773936 -0.1064442  -0.01891547 -0.13914722]
198.png,[ 0.1172604  -0.39700905  0.17709259 -0.18240679]
199.png,[-0.02815763 -0.08488565 -0.03040976 -0.1379748 ]
200.png,[-0.0277729  -0.0763058  -0.03382542 -0.1373315 ]
201.png,[-0.02644859 -0.06785033 -0.04779529 -0.13471192]
202.png,[-0.0703811   0.01841451 -0.09266145 -0.12839697]
203.png,[ 0.13201489 -0.37950688  0.15627174 -0.17813417]
204.png,[ 0.14907291 -0.40631313  0.17004557 -0.18066144]
205.png,[ 0.16737596 -0.42231148  0.16809894 -0.17942008]
206.png,[ 0.17388256 -0.4341126   0.17433789 -0.18134456]
207.png,[ 0.24716405 -0.55625711  0.2313493  -0.18868666]
208.png,[ 0.2334119  -0.51062053  0.1937984  -0.18271883]
209.png,[ 0.2149437  -0.4797745   0.18416954 -0.18640425]
210.png,[ 0.2137599  -0.47568924  0.18190573 -0.18818703]
211.png,[ 0.1711957  -0.37454353  0.11275335 -0.17754414]
