Image Filename,Coefficients
149.png,[-0.66916767  0.69761192 -0.377023    0.12033834]
150.png,[-0.70103102  0.75087646 -0.41577896  0.12743548]
151.png,[-0.45688045  0.22197931 -0.05095584  0.04226079]
152.png,[-0.56392503  0.46554071 -0.24141936  0.0858981 ]
153.png,[-0.37651832  0.08252115  0.01001074  0.03378262]
154.png,[-0.48881564  0.32679419 -0.14361163  0.05778247]
155.png,[-0.66475553  0.69391753 -0.39984073  0.11190959]
156.png,[-0.75075897  0.8130913  -0.44775959  0.11064983]
157.png,[-0.72136336  0.8282814  -0.52692319  0.15703805]
158.png,[-0.48348752  0.31256733 -0.15072229  0.05536355]
159.png,[-0.78230744  0.93816127 -0.56171192  0.13218885]
160.png,[-0.77006476  0.91143003 -0.5455941   0.12954517]
161.png,[-0.80720137  1.01549431 -0.65208945  0.17711514]
162.png,[-0.79045139  0.9450901  -0.56226012  0.13190194]
163.png,[-0.79045139  0.9450901  -0.56226012  0.13190194]
164.png,[-0.79539039  0.98942282 -0.6362753   0.17451158]
165.png,[-0.58489196  0.52095982 -0.28435102  0.0764241 ]
166.png,[-0.77474363  0.95182747 -0.61645748  0.17159889]
167.png,[-0.0407781  -0.49231203  0.17523924  0.02194716]
168.png,[-0.79958158  0.94159402 -0.55675872  0.13045364]
169.png,[-0.12804708 -0.33723333  0.09921032  0.03272847]
170.png,[-0.56927449  0.49108786 -0.26784644  0.07388605]
171.png,[-0.82982456  0.99347076 -0.58321861  0.13428203]
172.png,[-0.80623582  0.94367416 -0.55371914  0.12949173]
173.png,[-0.82063954  1.0061407  -0.63777637  0.17353953]
174.png,[-0.79144527  0.92613963 -0.54827082  0.12915539]
175.png,[-0.80623582  0.94367416 -0.55371914  0.12949173]
176.png,[-0.83235817  0.99622805 -0.58474792  0.13451261]
177.png,[-0.05976972 -0.46237991  0.1655633   0.0229247 ]
178.png,[-0.09222845 -0.39882359  0.12939594  0.02863625]
179.png,[ 0.0959491  -0.78558203  0.37725573 -0.02013869]
180.png,[-0.80240995  0.93415213 -0.54443812  0.1275094 ]
181.png,[-0.82568335  0.97314771 -0.56809035  0.1315969 ]
182.png,[-0.82600348  0.98672265 -0.58417322  0.13522221]
183.png,[-0.84880779  1.03170111 -0.61084298  0.13949891]
184.png,[-0.08797016 -0.371195    0.06357158  0.06879588]
185.png,[-0.83063819  0.98458662 -0.57587668  0.13294522]
186.png,[-0.8276788   0.98160696 -0.57595977  0.1331964 ]
187.png,[-0.84880779  1.03170111 -0.61084298  0.13949891]
188.png,[-0.82339149  0.98370277 -0.58398007  0.13534518]
189.png,[-0.06515109 -0.45040147  0.15708738  0.02443477]
190.png,[-0.80534437  0.98147374 -0.62816351  0.17265469]
191.png,[-0.80608859  0.94515305 -0.55688717  0.13033449]
192.png,[-0.82213606  0.97101865 -0.56994386  0.13225818]
193.png,[-0.81488934  0.97013476 -0.57804723  0.13465814]
194.png,[-0.62433208  0.57019862 -0.30915341  0.0790882 ]
195.png,[-0.61732062  0.55979826 -0.30688795  0.08022361]
196.png,[-0.06687749 -0.43390249  0.13905802  0.02827461]
197.png,[-0.10007578 -0.34763309  0.05442114  0.06912273]
198.png,[-0.63370986  0.57962342 -0.31043046  0.07977176]
199.png,[-0.08147275 -0.40454914  0.12148169  0.03111832]
200.png,[-0.81358172  0.97210588 -0.58287551  0.13587045]
201.png,[-0.06958915 -0.43104213  0.13895417  0.02808704]
202.png,[-0.81883839  0.9841359  -0.59027765  0.13710026]
203.png,[-0.10239093 -0.33135794  0.03445048  0.07300955]
204.png,[-0.81488934  0.97013476 -0.57804723  0.13465814]
205.png,[-0.82008673  0.98656857 -0.59169056  0.13732635]
206.png,[-0.80840889  0.94724032 -0.55832814  0.13069227]
207.png,[-0.83786711  0.99947641 -0.58588607  0.13479432]
208.png,[-0.80066135  0.93196128 -0.54754075  0.12766399]
209.png,[-0.80742621  0.96364733 -0.57960281  0.13554873]
210.png,[-0.10118415 -0.33235753  0.03424928  0.07315054]
211.png,[-0.79088694  0.9349271  -0.56541665  0.1336142 ]
212.png,[-0.57671809  0.48054757 -0.25875267  0.07106683]
213.png,[-0.81883839  0.9841359  -0.59027765  0.13710026]
214.png,[-0.07489347 -0.39749442  0.08051339  0.06492383]
215.png,[-0.76836931  0.88958756 -0.53821937  0.12920315]
216.png,[-0.05323157 -0.45950873  0.15319138  0.02611067]
217.png,[-0.82288061  1.02680306 -0.66454605  0.17988345]
218.png,[-0.07965266 -0.40723115  0.12204607  0.03108667]
219.png,[-0.81683945  1.01231781 -0.65155924  0.1760708 ]
220.png,[-0.06941114 -0.42638916  0.13421511  0.02805607]
221.png,[-0.08817691 -0.34869874  0.03591206  0.07487653]
222.png,[-0.61375636  0.56348666 -0.31585256  0.08252025]
223.png,[-0.59873575  0.53416422 -0.29960769  0.08003015]
224.png,[ 0.09130803 -0.75525248  0.34787552 -0.01339932]
225.png,[-0.05805664 -0.44766185  0.14591306  0.02626661]
226.png,[-0.06527958 -0.42807949  0.12954428  0.03049584]
227.png,[-0.80002949  0.96672875 -0.58496653  0.13716465]
228.png,[-0.80010142  0.95059509 -0.57329154  0.13472351]
229.png,[-0.59447832  0.52872426 -0.29804243  0.07999497]
230.png,[-0.82245184  1.0394114  -0.67168191  0.18129547]
231.png,[-0.0568096  -0.45101623  0.14691926  0.02730536]
232.png,[-0.0759675  -0.37547529  0.05483988  0.07045523]
233.png,[-0.77442165  0.9345674  -0.61199411  0.17159362]
234.png,[-0.05272642 -0.44901008  0.13933573  0.02924174]
235.png,[-0.79359215  0.94992862 -0.57102094  0.13332609]
236.png,[-0.0526492  -0.42904688  0.08954872  0.0656483 ]
237.png,[-0.07043261 -0.42187953  0.12832282  0.03036958]
238.png,[-0.07475587 -0.41792855  0.12944218  0.02985553]
239.png,[-0.80035586  0.96546185 -0.57202931  0.13309234]
240.png,[-0.67967344  0.72598705 -0.42552566  0.11080782]
241.png,[-0.68263744  0.71924215 -0.40423423  0.10548042]
242.png,[-0.50151381  0.32671781 -0.15062831  0.06037361]
243.png,[-0.68459876  0.74761226 -0.43079919  0.11641319]
244.png,[-0.38051626  0.08990772  0.00869891  0.03348537]
245.png,[-0.42938212  0.19678512 -0.04935117  0.0423643 ]
246.png,[-0.46689773  0.27732396 -0.11494023  0.06434994]
247.png,[-0.4590816   0.28559227 -0.12422596  0.07002822]
248.png,[-0.53127219  0.40150712 -0.17200129  0.07511233]
249.png,[-0.52712137  0.40331959 -0.16609986  0.07324038]
250.png,[-0.5944738   0.59675487 -0.34867979  0.14492769]
251.png,[-0.54501961  0.53156179 -0.3279527   0.15113044]
252.png,[-0.34050774  0.07139706  0.02232563  0.05236913]
253.png,[-0.41907553  0.2173967  -0.04671902  0.0609842 ]
254.png,[-0.48752342  0.37384988 -0.16070383  0.09241966]
255.png,[-0.48304565  0.36998788 -0.15125721  0.08979982]
256.png,[-0.43986666  0.3362837  -0.19219585  0.13414732]
257.png,[-0.38225409  0.14722056 -0.00230887  0.07293354]
258.png,[-0.3344686   0.08866422  0.02062305  0.070762  ]
259.png,[-0.39048781  0.19765001 -0.03900842  0.07982572]
260.png,[-0.21958972 -0.11194599  0.13402852  0.0551563 ]
261.png,[-0.27777934 -0.02262476  0.10856473  0.05555927]
262.png,[-0.29660957  0.01379895  0.08886666  0.05855856]
263.png,[-0.32831025  0.09574292  0.04277784  0.0656861 ]
264.png,[-0.33060924  0.06322358  0.08822286  0.0551838 ]
265.png,[-0.35414173  0.12928988  0.04754045  0.0615247 ]
266.png,[-0.33633734  0.11260116  0.04831787  0.06239351]
267.png,[-0.39356307  0.21344189  0.00488427  0.06512235]
268.png,[-0.32625362  0.14113965  0.00155665  0.08080109]
269.png,[-0.33306241  0.12654033  0.03278983  0.07279818]
270.png,[-0.33000745  0.12811486  0.02699635  0.07429865]
271.png,[-0.29873147  0.08508887  0.05695361  0.0662797 ]
272.png,[-0.37301941  0.19803304  0.01639082  0.06443851]
273.png,[-0.4240024   0.30207463 -0.04152585  0.07318905]
274.png,[-0.25374991 -0.02037592  0.14036409  0.04765497]
275.png,[-0.22302318 -0.0842878   0.19171492  0.03729009]
276.png,[-0.14331793 -0.2041138   0.2253045   0.04417425]
277.png,[-0.21984413 -0.07862171  0.18297531  0.03935411]
278.png,[-0.10548936 -0.24828991  0.24216294  0.04171665]
279.png,[-0.26909497  0.01653901  0.13188091  0.04683077]
280.png,[-0.20200809 -0.07422969  0.15077068  0.05560389]
281.png,[-0.21842884 -0.04250065  0.15463787  0.04414492]
282.png,[-0.2206067  -0.03867427  0.15025696  0.04527136]
283.png,[-0.19366981 -0.08195208  0.17110663  0.04240279]
284.png,[-0.17337753 -0.10051274  0.17318474  0.04294125]
285.png,[-0.15475659 -0.1251229   0.18332934  0.04118785]
286.png,[-0.18639769 -0.06898413  0.15501775  0.0451447 ]
287.png,[-0.24019272  0.01939985  0.11385815  0.05007825]
288.png,[-0.27336543  0.09473756  0.0700495   0.0568692 ]
289.png,[-0.25303362  0.07124842  0.07962191  0.05556771]
290.png,[-0.38285429  0.35347327 -0.1333033   0.11703857]
291.png,[-0.36940012  0.30357589 -0.05878093  0.07561339]
292.png,[-0.16639847 -0.09832036  0.19440294  0.02478637]
293.png,[-0.21968177  0.0899345  -0.00820913  0.09942191]
294.png,[-0.20299005  0.05892377  0.03101049  0.06635596]
295.png,[-0.19712127  0.05630703  0.03115652  0.06609349]
296.png,[-0.21323385  0.08783046  0.01328989  0.06829173]
